"species","sex","date","cap_start","caught","released","form_id","author","gps_id","gps_point","bird_ID","UL","UR","LL","LR","harness","tag_action","recapture","capture_meth","tarsus","total_head","wing","body_mass","nest","colour_combo","tag_ID"
"PESA","m",2022-05-30,11:00:00,11:10:00,12:10:00,1,"EK",NA,NA,141269001,"M","DG","O,DB,Y",NA,NA,NA,0,"N",29.73,59.1,152,107,NA,"O,DB,Y",NA
"PESA","m",2022-06-03,18:00:00,18:15:00,18:48:00,2,"MV",2,1,141269002,"M","DG","DG,O,R",NA,NA,NA,0,"N",29.28,56.57,143,97.25,NA,"DG,O,R",NA
"PESA","m",2022-06-04,15:25:00,15:45:00,16:35:00,3,"MV",3,1,141269003,"M","DG","O,Y,PI",NA,NA,"on",0,"N",29.81,55.75,148.5,113.8,NA,"O,Y,PI","0243"
"PESA","m",2022-06-04,17:30:00,17:43:00,17:49:00,NA,"AA",3,6,141269003,"M","DG","O,Y,PI",NA,NA,"off",1,"N",NA,NA,NA,NA,NA,"O,Y,PI","0243"
"PESA","m",2022-06-05,16:20:00,16:40:00,17:03:00,200,"JK",11,2,141269101,"M","DG","R,R,O",NA,NA,NA,0,"N",29,56.82,145,97.6,NA,"R,R,O",NA
"PESA","m",2022-06-07,14:00:00,14:48:00,15:30:00,201,"JK",11,5,141269102,"M","DG","Y,DB,DB",NA,"58","on",0,"N",31.28,57.45,149.5,99.3,NA,"Y,DB,DB","0210"
"PESA","m",2022-06-08,11:21:00,11:52:00,12:05:00,104,"MV",1,2,141269004,"M","DG","O,DG,R",NA,NA,NA,0,"N",27.88,54.42,149.5,94.4,NA,"O,DG,R",NA
"PESA","m",2022-06-08,12:53:00,12:58:00,13:10:00,105,"MV",1,4,141269005,"M","DG","Y,O,DG",NA,NA,NA,0,"N",28.8,54.05,145,89.75,NA,"Y,O,DG",NA
"PESA","m",2022-06-09,12:28:00,12:33:00,12:43:00,106,"MV",1,5,141269010,"M","DG","O,DB,DG",NA,NA,NA,0,"N",30.08,55.17,141,99.5,NA,"O,DB,DG",NA
"PESA","m",2022-06-09,15:45:00,16:00:00,16:09:00,202,"JK",7,12,141269104,"M","DG","DG,PI,PI",NA,NA,NA,0,"N",27.66,55.6,148.5,85.4,NA,"DG,PI,PI",NA
"PESA","m",2022-06-09,11:00:00,13:12:00,13:30:00,203,"JK",7,10,141269103,"M","DG","DG,Y,DG",NA,NA,NA,0,"N",27.98,55.01,145,92.3,NA,"DG,Y,DG",NA
"PESA","f",2022-06-09,13:30:00,13:30:00,13:52:00,204,"JK",7,11,273145401,"M","DG","O,W,PU",NA,NA,NA,0,"N",28.36,57.3,134.5,61.7,NA,"O,W,PU",NA
"PESA","f",2022-06-09,16:17:00,16:18:00,16:28:00,205,"JK",7,14,273145402,"M","DG",NA,"Y,Y,W",NA,NA,0,"N",27.87,52.98,134,58.2,NA,"Y,Y,W",NA
"PESA","m",2022-06-10,12:41:00,12:41:00,13:03:00,206,"JK",12,1,141269105,"M","DG","PI,Y,Y",NA,"58","on",0,"N",28.51,53.51,150,93.5,NA,"PI,Y,Y","020d"
"PESA","m",2022-06-10,12:13:00,12:23:00,12:44:00,107,"AA",5,3,141269011,"M","DG","PI,Y,R",NA,NA,NA,0,"N",30.68,56.89,145,94.97,NA,"PI,Y,R",NA
"PESA","f",2022-06-10,16:05:00,16:10:00,16:34:00,108,"AA",5,4,273145372,"M","DG","W,DB,W",NA,NA,NA,0,"N",26.6,52.4,129,63.51,NA,"W,DB,W",NA
"PESA","f",2022-06-11,12:20:00,12:30:00,12:46:00,109,"AA",5,7,273145373,"M","DG","O,DB,W",NA,NA,NA,0,"N",28.29,51,132,60.5,NA,"O,DB,W",NA
"PESA","f",2022-06-11,12:55:00,12:58:00,13:16:00,110,"AA",5,8,273145374,"M","DG","O,W,O",NA,NA,NA,0,"N",26.98,50.88,134,72.55,NA,"O,W,O",NA
"PESA","m",2022-06-11,09:20:00,09:50:00,10:08:00,207,"JK",12,10,141269004,"M","DG","O,DG,R",NA,"58","on",1,"N",NA,NA,NA,101.5,NA,"O,DG,R","0238"
