"window_start_UTC","window_end_UTC","tag_ID","bird_ID","colour_combo","window_ID","observation_ID","win_in_segment","beh_walk","beh_rest","beh_unknown","beh_fly","beh_other","beh_preen","n_raw_acc_datapoints","expected_n","mean_ODBA","modal_behaviour","mixed_behaviour"
"2022-06-14 19:54:03.34","2022-06-14 20:04:03.34","0230",141269125,"Y,Y,R",1,"Y,Y,R_v3_20220614-00004",1,0.0602666666666667,0.462933333333333,0.4658,0.011,0,0,15061,15000,0.121850097603081,"unknown",1
"2022-06-14 20:04:03.34","2022-06-14 20:14:03.34","0230",141269125,"Y,Y,R",2,"Y,Y,R_v3_20220614-00004",2,0.00373333333333333,0.9186,0.0650666666666668,0.0126,0,0,15015,15000,0.0603130522810523,"rest",1
"2022-06-14 20:14:03.34","2022-06-14 20:24:03.34","0230",141269125,"Y,Y,R",3,"Y,Y,R_v3_20220614-00004",3,0.1392,0.544133333333333,0.272333333333333,0.0443333333333333,0,0,15064,15000,0.268829940254912,"rest",1
"2022-06-14 20:24:03.34","2022-06-14 20:34:03.34","0230",141269125,"Y,Y,R",4,"Y,Y,R_v3_20220614-00004",4,0.317,0.109,0.558866666666667,0.0151333333333333,0,0,15096,15000,0.286957890832009,"unknown",1
"2022-06-19 01:01:15.38","2022-06-19 01:11:15.38","0253",141269148,"DB,R,O",5,"DB,R,O_v1_20220618-00012",1,0.1668,0.0609333333333333,0.0888666666666667,0,0.0119333333333333,0.671466666666667,14974,15000,0.230230526245492,"preen",1
"2022-06-19 01:11:15.38","2022-06-19 01:21:15.38","0253",141269148,"DB,R,O",6,"DB,R,O_v1_20220618-00012",2,0.011,0.115133333333333,0.459666666666667,0.174,0,0.2402,15041,15000,0.491310119008045,"unknown",1
"2022-06-19 01:21:15.38","2022-06-19 01:31:15.38","0253",141269148,"DB,R,O",7,"DB,R,O_v1_20220618-00012",3,0.0497333333333333,0.134333333333333,0.0778666666666667,0.175933333333333,0,0.562133333333333,15152,15000,0.37475975844773,"preen",1
"2022-06-19 01:31:15.38","2022-06-19 01:41:15.38","0253",141269148,"DB,R,O",8,"DB,R,O_v1_20220618-00012",4,0.0471333333333333,0.483466666666667,-0.00659999999999987,0,0,0.476,15199,15000,0.127299596026054,"rest",1
"2022-06-14 01:36:37.79","2022-06-14 01:46:37.79","0250",141269118,"DB,O,DG",9,"DB,O,DG_v1_20220613-00011",1,0.730333333333333,0.0719333333333333,0.14,0.0577333333333333,0,0,15007,15000,0.359573868194842,"walk",1
"2022-06-14 01:46:37.79","2022-06-14 01:56:37.79","0250",141269118,"DB,O,DG",10,"DB,O,DG_v1_20220613-00011",2,0.870266666666667,0,0.0706000000000001,0.0591333333333333,0,0,14992,15000,0.360336955709712,"walk",1
"2022-06-14 01:56:37.79","2022-06-14 02:06:37.79","0250",141269118,"DB,O,DG",11,"DB,O,DG_v1_20220613-00011",3,0.2346,0.292466666666667,0.4624,0.0105333333333333,0,0,15036,15000,0.180676981910082,"unknown",1
"2022-06-14 02:06:37.79","2022-06-14 02:16:37.79","0250",141269118,"DB,O,DG",12,"DB,O,DG_v1_20220613-00011",4,1.00413333333333,0,-0.00413333333333332,0,0,0,15062,15000,0.321200023901208,"walk",0
"2022-06-15 20:11:47.12","2022-06-15 20:21:47.12","021C",141269129,"Y,Y,DG",13,"Y,Y,DG_v4_20220615-00000",1,0.800733333333333,0.0259333333333333,0.143666666666667,0.0277333333333333,0,0.00193333333333333,14937,15000,0.428167909218719,"walk",1
"2022-06-15 20:21:47.12","2022-06-15 20:31:47.12","021C",141269129,"Y,Y,DG",14,"Y,Y,DG_v4_20220615-00000",2,0.647266666666667,0.0712,0.00519999999999998,0.0169333333333333,0,0.2594,14922,15000,0.377518057901086,"walk",1
"2022-06-15 20:31:47.12","2022-06-15 20:41:47.12","021C",141269129,"Y,Y,DG",15,"Y,Y,DG_v4_20220615-00000",3,0.643733333333333,0.304066666666667,0.0023333333333333,0.0498666666666667,0,0,14965,15000,0.337030531239559,"walk",1
"2022-06-15 20:41:47.12","2022-06-15 20:51:47.12","021C",141269129,"Y,Y,DG",16,"Y,Y,DG_v4_20220615-00000",4,0.648266666666667,0.2238,0.098,0.0299333333333333,0,0,14943,15000,0.342627578130228,"walk",1
"2022-06-14 18:23:53.75","2022-06-14 18:33:53.75","0250",141269118,"DB,O,DG",17,"DB,O,DG_v3_20220614-00002",1,0.071,0.1554,0.184733333333333,0.451666666666667,0,0.1372,14818,15000,0.800305122148738,"fly",1
"2022-06-14 18:33:53.75","2022-06-14 18:43:53.75","0250",141269118,"DB,O,DG",18,"DB,O,DG_v3_20220614-00002",2,0.113933333333333,0.345133333333333,0.0202666666666667,0.15,0,0.370666666666667,14873,15000,0.342103002756673,"preen",1
"2022-06-14 18:43:53.75","2022-06-14 18:53:53.75","0250",141269118,"DB,O,DG",19,"DB,O,DG_v3_20220614-00002",3,0.209066666666667,0.2446,0.0811333333333333,0.182933333333333,0,0.282266666666667,14934,15000,0.412274802464176,"preen",1
"2022-06-13 01:05:42.57","2022-06-13 01:15:42.57","0219",141269114,"PI,R,PI",20,"PI,R,PI_v3_20220612-005",1,0,0,0.883466666666667,0.116533333333333,0,0,14792,15000,0.640073441049216,"unknown",1
"2022-06-13 01:15:42.57","2022-06-13 01:25:42.57","0219",141269114,"PI,R,PI",21,"PI,R,PI_v3_20220612-005",2,0.0988666666666667,0.0858666666666667,0.684333333333333,0.130933333333333,0,0,14819,15000,0.507026657669209,"unknown",1
"2022-06-13 01:25:42.57","2022-06-13 01:35:42.57","0219",141269114,"PI,R,PI",22,"PI,R,PI_v3_20220612-005",3,0.110866666666667,0.312733333333333,0.496266666666667,0.0801333333333333,0,0,14820,15000,0.219211870445344,"unknown",1
"2022-06-16 23:45:43.55","2022-06-16 23:55:43.55","0237",141269146,"R,DG,PI",23,"R,DG,PI_v1_20220616-00006",1,0.130266666666667,0.3192,0.387,0.163533333333333,0,0,14823,15000,0.391885351143493,"unknown",1
"2022-06-16 23:55:43.55","2022-06-17 00:05:43.55","0237",141269146,"R,DG,PI",24,"R,DG,PI_v1_20220616-00006",2,0.1016,0.351266666666667,0.2858,0.119733333333333,0,0.1416,14833,15000,0.333184487291849,"rest",1
"2022-06-17 00:05:43.55","2022-06-17 00:15:43.55","0237",141269146,"R,DG,PI",25,"R,DG,PI_v1_20220616-00006",3,0.0875333333333333,0.242933333333333,0.318133333333333,0.330066666666667,0.0213333333333333,0,14769,15000,0.851218159658745,"fly",1
"2022-06-19 19:54:03.10","2022-06-19 20:04:03.10","021A",141269036,"R,PI,PI",26,"R,PI,PI_v3_20220619-00028",1,0.0324666666666667,0.581733333333333,0.271866666666667,0.113933333333333,0,0,14906,15000,0.403493029652489,"rest",1
"2022-06-19 20:04:03.10","2022-06-19 20:14:03.10","021A",141269036,"R,PI,PI",27,"R,PI,PI_v3_20220619-00028",2,0.740533333333333,0.0121333333333333,0.0336666666666666,0,0.0254,0.188266666666667,14982,15000,0.438000396475771,"walk",1
"2022-06-19 20:14:03.10","2022-06-19 20:24:03.10","021A",141269036,"R,PI,PI",28,"R,PI,PI_v3_20220619-00028",3,0.151666666666667,0.680466666666667,0.139333333333333,0.0285333333333333,0,0,14981,15000,0.184192873639944,"rest",1
"2022-06-16 22:31:12.87","2022-06-16 22:41:12.87","0211",141269010,"O,DB,DG",29,"O,DB,DG_v4_20220616-00002",1,0.245066666666667,0.3266,0.275533333333333,0.141066666666667,0.0117333333333333,0,14821,15000,0.506664381620673,"rest",1
"2022-06-16 22:41:12.87","2022-06-16 22:51:12.87","0211",141269010,"O,DB,DG",30,"O,DB,DG_v4_20220616-00002",2,0.224066666666667,0.338466666666667,0.321466666666667,0.109866666666667,0.00613333333333333,0,14823,15000,0.508817526816434,"rest",1
"2022-06-16 22:51:12.87","2022-06-16 23:01:12.87","0211",141269010,"O,DB,DG",31,"O,DB,DG_v4_20220616-00002",3,0.551866666666667,0.138533333333333,0.2022,0.1074,0,0,14839,15000,0.561732140979851,"walk",1
"2022-06-12 01:36:15.13","2022-06-12 01:46:15.13","0238",141269004,"O,DG,R",32,"O,DG,R_v3_20220611b-003",1,0.336533333333333,0.2656,0.274333333333333,0.123533333333333,0,0,14951,15000,0.450737826232359,"walk",1
