"nest","first_clutchsize","max_clutchsize","date_found","est_hatch_date","hatch_date","lat","lon"
"P1001",4,4,2022-06-22,2022-07-13,2022-07-09,71.325341,-156.642626
"P1003",4,4,2022-06-30,2022-07-21,NA,71.322126,-156.652969
"P1004",4,4,2022-06-30,2022-07-13,2022-07-14,71.321389,-156.640746
"P1101",3,3,2022-06-26,2022-07-18,2022-07-15,71.319594,-156.655307
"P1102",3,4,2022-06-26,2022-07-16,NA,71.318291,-156.656346
"P1103",4,4,2022-06-26,2022-07-15,2022-07-13,71.317675,-156.65407
"P1104",4,4,2022-06-28,2022-07-17,NA,71.31709,-156.645922
"P1106",4,4,2022-06-30,2022-07-14,2022-07-17,71.320558,-156.653042
"P1107",4,4,2022-06-30,2022-07-14,2022-07-14,71.320961,-156.642466
"P1108",4,4,2022-06-30,2022-07-19,NA,71.32099,-156.64102
"P1109",4,4,2022-06-30,NA,NA,71.320311,-156.649092
"P1110",3,3,2022-06-30,NA,NA,71.319476,-156.652423
"P1111",4,4,2022-06-30,NA,NA,71.319593,-156.654851
"P1112",2,2,2022-07-01,NA,NA,71.318975,-156.655223
"P1113",4,4,2022-07-03,2022-07-18,NA,71.318542,-156.649456
"P1114",4,4,2022-07-04,2022-07-20,NA,71.31623,-156.655438
"P1115",4,4,2022-07-06,2022-07-17,NA,71.320233,-156.670698
"P1401",1,4,2022-06-24,2022-07-16,2022-07-17,71.316705,-156.647762
"P1402",4,4,2022-06-23,2022-07-13,NA,71.314426,-156.652535
"P1403",4,4,2022-06-25,2022-07-17,2022-07-13,71.32136,-156.646098
"P1404",1,3,2022-06-26,2022-07-17,NA,71.316532,-156.667871
"P1405",2,4,2022-06-26,2022-07-17,NA,71.315862,-156.647899
"P1406",4,4,2022-06-27,2022-07-18,NA,71.314094,-156.661718
"P1407",4,4,2022-06-27,2022-07-17,NA,71.31402,-156.661625
"P1408",4,4,2022-06-27,2022-07-19,NA,71.320651,-156.647558
"P1409",4,4,2022-06-28,NA,NA,71.31864,-156.650578
"P1701",4,4,2022-06-22,2022-07-11,2022-07-10,71.314581,-156.660053
"P1702",4,4,2022-06-22,2022-07-13,2022-07-11,71.320481,-156.66204
"P1901",1,4,2022-06-23,2022-07-15,2022-07-16,71.318219,-156.658273
"P1902",1,4,2022-06-25,2022-07-17,NA,71.313679,-156.661821
"P1903",4,4,2022-06-26,2022-07-17,NA,71.321216,-156.644863
"P1905",4,4,2022-06-26,2022-07-18,NA,71.321448,-156.654026
"P1906",4,4,2022-06-27,2022-07-18,NA,71.321607,-156.644704
"P1907",4,4,2022-06-27,2022-07-19,NA,71.320751,-156.659586
"P1908",4,4,2022-06-30,2022-07-19,NA,71.319253,-156.656295
"P1909",4,4,2022-06-30,2022-07-18,NA,71.317324,-156.657586
"P1910",4,4,2022-06-30,NA,NA,71.317177,-156.658098
"P1911",4,4,2022-07-01,2022-07-19,NA,71.314415,-156.659976
"P201",4,4,2022-06-26,2022-07-17,NA,71.322273,-156.645214
"P202",2,4,2022-06-26,2022-07-17,NA,71.320066,-156.655211
"P203",2,3,2022-06-26,2022-07-16,NA,71.320499,-156.656583
"P204",4,4,2022-06-30,2022-07-14,2022-07-14,71.318185,-156.660551
"P205",4,4,2022-06-30,2022-07-12,NA,71.320994,-156.643269
"P206",4,4,2022-06-30,NA,NA,71.319886,-156.655972
"P207",4,4,2022-06-30,NA,NA,71.317819,-156.658158
"P208",4,4,2022-06-30,2022-07-19,NA,71.316285,-156.658187
"P209",4,4,2022-07-03,2022-07-15,NA,71.317657,-156.644037
"P210",4,4,2022-07-04,2022-07-16,NA,71.315258,-156.652129
"P211",2,2,2022-07-04,2022-07-18,NA,71.315118,-156.643738
"P212",4,4,2022-07-04,2022-07-16,NA,71.31625,-156.649349
"P213",4,4,2022-07-04,2022-07-17,NA,71.314687,-156.656014
"P214",4,4,2022-07-05,2022-07-23,NA,71.31958,-156.663607
"P401",1,4,2022-06-19,2022-07-11,2022-07-13,71.320174,-156.66142
"P402",3,4,2022-06-20,2022-07-10,2022-07-10,71.326622,-156.644958
"P403",4,4,2022-06-21,2022-07-12,NA,71.319168,-156.664154
"P701",4,4,2022-06-19,2022-07-10,NA,71.323848,-156.644699
"P702",4,4,2022-06-20,2022-07-10,2022-07-09,71.320575,-156.672957
"P901",4,4,2022-06-26,2022-07-17,NA,71.31901,-156.65354
