ID,EggID,Sex,Nest,ID mother,ID father,F_mismatch,M_mismatch,Comments
141269305,P1001_3,F,P1001,273145381,141269127,,,
141269306,P1001_4,M,P1001,273145381,141269127,,,
141269307,P1001_2,M,P1001,273145381,141269127,,,
141269309,P1001_1,F,P1001,273145381,141269127,,,
P1003_1,P1003_1,M,P1003,273145420,141269026,,,
P1003_2,P1003_2,F,P1003,273145420,141269026,,,
P1003_3,P1003_3,F,P1003,273145420,141269026,,,
P1003_4,P1003_4,M,P1003,273145420,141269026,,,
141269343,P1004_2,F,P1004,273145423,,,,unknown father
141269344,P1004_3,F,P1004,273145423,,,,unknown father
141269346,P1004_1,M,P1004,273145423,,,,unknown father
141269348,P1004_4,M,P1004,273145423,,,,unknown father
141269365,P1101_2,F,P1101,273145502,,,,unknown father
141269368,P1101_3,M,P1101,273145502,,1,,unknown father; mismatch with female due to null allele
141269369,P1101_1,M,P1101,273145502,,,,unknown father
P1102_1,P1102_1,F,P1102,273145396,,,,unknown father
P1102_2,P1102_2,M,P1102,273145396,,,,unknown father
P1102_3,P1102_3,F,P1102,273145396,,,,unknown father
P1102_4,P1102_4,M,P1102,273145396,,,,unknown father
141269329,P1103_4,M,P1103,273145387,,,,unknown father
141269338,P1103_1,F,P1103,273145387,141269175,,,
141269339,P1103_3,F,P1103,273145387,141269175,,,
141269342,P1103_2,F,P1103,273145387,141269175,,,
141269340,P1104_2,M,P1104,273145400,,,,unknown father
141269341,P1104_3,M,P1104,273145400,,,,unknown father
141269345,P1104_4,F,P1104,273145400,,,,unknown father
P1104_1,P1104_1,M,P1104,273145400,,,,unknown father
141269379,P1106_3,F,P1106,273145426,,,,unknown father
141269382,P1106_2,M,P1106,273145426,,,,unknown father
141269383,P1106_4,M,P1106,273145426,,,,unknown father
P1106_1,P1106_1,M,P1106,273145426,,,,unknown father
141269347,P1107_1,F,P1107,273145422,,,,unknown father
141269351,P1107_3,F,P1107,273145422,,,,unknown father
141269356,P1107_2,M,P1107,273145422,,,,unknown father
141269357,P1107_4,M,P1107,273145422,,,,unknown father
P1108_1,P1108_1,F,P1108,273145424,,1,,unknown father; mismatch with mother due to null allele
P1108_2,P1108_2,F,P1108,273145424,,,,unknown father
P1108_3,P1108_3,M,P1108,273145424,,,,unknown father
P1108_4,P1108_4,M,P1108,273145424,,,,unknown father
P1113_1,P1113_1,F,P1113,273145427,,,,unknown father
P1113_2,P1113_2,M,P1113,273145427,,,,unknown father
P1113_3,P1113_3,F,P1113,273145427,,,,unknown father
P1113_4,P1113_4,M,P1113,273145427,,,,unknown father
P1114_1,P1114_1,M,P1114,273145429,,,,unknown father
P1114_2,P1114_2,M,P1114,273145429,,1,,unknown father
P1114_3,P1114_3,F,P1114,273145429,,,,unknown father
P1114_4,P1114_4,F,P1114,273145429,,1,,unknown father
P1115_1,P1115_1,F,P1115,273145415,,,,unknown father
P1115_2,P1115_2,F,P1115,,,,,could not be genotyped
P1115_3,P1115_3,F,P1115,273145415,,,,unknown father
P1115_4,P1115_4,F,P1115,273145415,,,,unknown father
141269375,P1401_1,F,P1401,273145386,,,,unknown father
141269376,P1401_3,F,P1401,273145386,141269152,,,
