"species","sex","author","colour_combo","datetime","lat","lon"
"PESA","m","KD","O,Y,PI",2022-06-04 18:40:45,71.323765,-156.671075
"PESA","m","KD","O,Y,PI",2022-06-05 22:29:26,71.324736,-156.671469
"PESA","m","KD","O,Y,PI",2022-06-06 16:25:07,71.322906,-156.677002
"PESA","m","RJ","O,Y,PI",2022-06-06 15:50:07,71.323183,-156.675238
"PESA","m","JK","O,Y,PI",2022-06-07 12:25:08,71.322892,-156.675777
"PESA","m","RJ","Y,DB,DB",2022-06-07 15:13:13,71.323846,-156.673843
"PESA","m","RJ","Y,DB,DB",2022-06-07 16:00:22,71.323771,-156.677054
"PESA","m","KD","Y,DB,DB",2022-06-07 17:17:40,71.323438,-156.674948
"PESA","m","KD","O,Y,PI",2022-06-07 17:22:58,71.322963,-156.676574
"PESA","m","AA","R,R,O",2022-06-05 18:11:12,71.319767,-156.67306
"PESA","m","EK","Y,DB,DB",2022-06-08 12:24:34,71.320353,-156.673665
"PESA","m","EK","O,DG,R",2022-06-08 16:18:50,71.322918,-156.673939
"PESA","m","JK","O,DG,R",2022-06-08 12:33:54,71.322761,-156.67477
"PESA","m","JK","Y,DB,DB",2022-06-08 13:19:16,71.320817,-156.669542
"PESA","m","JK","Y,DB,DB",2022-06-08 13:25:51,71.32101,-156.669497
"PESA","m","RJ","O,DG,R",2022-06-09 12:57:18,71.321929,-156.675353
"PESA","m","EK","O,DG,R",2022-06-09 13:04:42,71.322794,-156.674662
"PESA","m","KD","O,DG,R",2022-06-10 14:59:06,71.323337,-156.675804
"PESA","m","KD","PI,Y,R",2022-06-10 17:07:58,71.323311,-156.67015
"PESA","m","KD","O,DG,R",2022-06-10 18:02:29,71.323103,-156.673896
"PESA","m","RJ","O,DB,DG",2022-06-10 16:37:08,71.321632,-156.670099
"PESA","m","RJ","O,DB,DG",2022-06-10 16:37:09,71.321631,-156.670099
"PESA","m","RJ","PI,Y,Y",2022-06-10 19:40:05,71.323495,-156.671548
"PESA","m","RJ","DG,PI,PI",2022-06-10 20:01:23,71.323282,-156.673028
"PESA","m","RJ","DG,PI,PI",2022-06-10 20:04:00,71.323387,-156.674625
"PESA","m","KD","PI,Y,R",2022-06-11 09:13:09,71.32362,-156.671179
"PESA","m","KD","O,DG,R",2022-06-11 09:21:57,71.323258,-156.674312
"PESA","m","KD","O,DG,R",2022-06-11 10:08:20,71.323047,-156.676817
"PESA","m","KD","O,DB,DG",2022-06-11 17:30:56,71.322576,-156.671795
"PESA","m","KD","PI,Y,R",2022-06-11 17:57:44,71.322912,-156.670912
"PESA","m","RJ","O,DG,R",2022-06-11 10:11:40,71.322894,-156.676287
"PESA","m","RJ","O,DG,R",2022-06-11 10:11:40,71.322894,-156.676287
"PESA","m","RJ","O,DG,R",2022-06-11 10:11:40,71.322894,-156.676287
"PESA","m","RJ","O,DG,R",2022-06-11 16:27:43,71.323042,-156.669469
"PESA","m","RJ","O,DG,R",2022-06-11 16:55:22,71.323296,-156.67608
"PESA","m","RJ","O,DG,R",2022-06-11 17:36:18,71.323066,-156.675419
"PESA","m","RJ","PI,Y,R",2022-06-11 18:17:58,71.323352,-156.67212
"PESA","f","RJ","W,DB,W",2022-06-11 12:32:31,71.321691,-156.66434
"PESA","f","RJ","Y,W,DB",2022-06-11 16:36:33,71.323314,-156.673449
"PESA","m","MV","DG,O,R",2022-06-09 16:06:35,71.322532,-156.672581
"PESA","m","MV","PI,Y,Y",2022-06-10 13:02:07,71.320552,-156.669995
"PESA","m","AA","O,DG,R",2022-06-10 16:53:50,71.322994,-156.674668
"PESA","m","AA","O,DG,R",2022-06-10 17:27:11,71.323148,-156.675799
"PESA","m","AA","PI,Y,Y",2022-06-11 11:24:27,71.323312,-156.664397
